% selection
@RELATION myRel

@ATTRIBUTE IMPACT_TYPE NUMERIC
@ATTRIBUTE ENVIRONMENT NUMERIC
@ATTRIBUTE LIGHT NUMERIC
@ATTRIBUTE ROAD_SURFACE_CONDITION NUMERIC
@ATTRIBUTE TRAFFIC_CONTROL_CONDITION NUMERIC
@ATTRIBUTE NO_OF_PEDESTRIANS NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE Y NUMERIC
@ATTRIBUTE Highway NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_01 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_02 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_03 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_04 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_07 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_08 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_09 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_11 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_01 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_02 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_03 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_04 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_05 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_06 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_07 NUMERIC
@ATTRIBUTE categorical_Seasons_Fall NUMERIC
@ATTRIBUTE categorical_Seasons_Spring NUMERIC
@ATTRIBUTE categorical_Seasons_Summer NUMERIC
@ATTRIBUTE categorical_Seasons_Winter NUMERIC
@ATTRIBUTE class REAL

@DATA
7.0,1.0,7.0,1.0,0.0,0.0,0.15825342176904167,0.6419342172569031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.0,1.0,7.0,1.0,0.0,0.0,0.6961412433066849,0.7620287635075301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.5517499376950461,0.7228760635882309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.6524037382496184,0.8035470582198343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.5992854944058967,0.7783460054154999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.7539247522931332,0.7100766738497839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,1.0,7.0,1.0,0.0,0.0,0.5005234938521808,0.5621658206774498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.5378802555956517,0.7000785382859647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,1.0,0.0,0.0,0.5854950003550075,0.7715742365048328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,1.0,7.0,1.0,0.0,0.0,0.5170806292824235,0.5070533071531429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,3.0,7.0,4.0,0.0,0.0,0.5755745350716142,0.7653029197885529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,2.0,7.0,2.0,0.0,0.0,0.5197145241783732,0.6805444416514489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,2.0,7.0,2.0,0.0,0.0,0.5701901075457378,0.7597314443052312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,7.0,7.0,2.0,0.0,0.0,0.6883052540112233,0.7887261622945942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,3.0,3.0,3.0,0.0,0.0,0.03202782136609628,0.7914525367429377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,3.0,3.0,3.0,0.0,0.0,0.255826169653413,0.6074926316657212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.6263563169123048,0.7982569813393354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.6138786859396657,0.7905312434015173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,1.0,1.0,1.0,0.0,0.0,0.6185789240565747,0.7948224201334568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.6109994000616616,0.7885549311872779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,1.0,3.0,1.0,0.0,0.0,0.4714299070452972,0.6562291479963562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.5443510063381884,0.7094576264943697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,1.0,7.0,1.0,0.0,0.0,0.5887154922282011,0.7725945590235455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.4968043074047834,0.6018642817610811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,1.0,7.0,1.0,0.0,0.0,0.4586931208182419,0.6476403382506817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7.0,3.0,1.0,2.0,0.0,0.0,0.3583641173020027,0.5488831297833059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,1.0,1.0,1.0,0.0,0.0,0.5838433889320669,0.7705111185304503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,3.0,1.0,2.0,0.0,0.0,0.4896367370978707,0.6612027356432435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,3.0,1.0,6.0,0.0,0.0,0.5147603856283558,0.676251687812524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,3.0,1.0,5.0,0.0,0.0,0.6236077034655851,0.7984743428264949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
