DATE,TIME,CLASS_OF_ACCIDENT,IMPACT_TYPE,ENVIRONMENT,LIGHT,ROAD_SURFACE_CONDITION,TRAFFIC_CONTROL_CONDITION,NO_OF_PEDESTRIANS,X,Y,Highway,Month,categorical_TRAFFIC_CONTROL_01,categorical_TRAFFIC_CONTROL_02,categorical_TRAFFIC_CONTROL_03,categorical_TRAFFIC_CONTROL_04,categorical_TRAFFIC_CONTROL_07,categorical_TRAFFIC_CONTROL_08,categorical_TRAFFIC_CONTROL_09,categorical_TRAFFIC_CONTROL_11,categorical_ACCIDENT_LOCATION_01,categorical_ACCIDENT_LOCATION_02,categorical_ACCIDENT_LOCATION_03,categorical_ACCIDENT_LOCATION_04,categorical_ACCIDENT_LOCATION_05,categorical_ACCIDENT_LOCATION_06,categorical_ACCIDENT_LOCATION_07,categorical_Seasons_Fall,categorical_Seasons_Spring,categorical_Seasons_Summer,categorical_Seasons_Winter
2018-12-04,17:30:00,02,03,01,07,01,,0,355874.8802,5021971.91,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,09:35:00,03,07,03,01,02,,0,347453.06700000004,5015960.465,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,11:00:00,03,04,01,01,01,,0,366380.239,5029451.171,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,13:10:00,03,07,03,01,02,,0,358472.348,5022797.466,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,13:05:00,03,07,03,01,06,,0,360581.2763,5023713.51,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,13:15:00,03,04,03,01,05,,0,369718.1335,5031153.319,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,13:21:00,03,07,03,01,06,,0,364371.4572,5027431.424,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,13:25:00,02,0,03,01,06,,0,357890.3953,5022805.416,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,13:34:00,03,03,03,01,06,,0,365352.3397,5028908.575,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,13:40:00,03,03,03,01,03,,0,371798.2805,5031448.523,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,14:15:00,03,0,03,01,05,,0,375179.5311,5030584.145,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,14:20:00,03,07,03,01,03,,0,379258.8536,5026136.839,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,14:40:00,03,07,03,01,05,,0,374951.0548,5030708.598,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,14:50:00,03,03,03,01,02,,0,363900.0391,5026808.922,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,15:40:00,03,04,03,01,05,,0,379216.5385,5026088.961,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,14:55:00,03,07,03,01,06,,0,360750.5513,5013398.201,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,15:00:00,03,07,03,01,06,,0,360526.4574,5013933.726,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-05,18:30:00,02,07,01,07,01,,0,382591.5579,5025425.072,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-06,00:30:00,03,07,07,07,02,,0,393851.157,5022453.227,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-06,16:22:00,03,04,01,05,01,,0,368640.9101,5030540.55,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-06,16:35:00,03,03,01,05,01,,0,364442.7619,5027523.7360000005,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-06,17:30:00,03,03,01,07,01,,0,355200.57399999996,5021575.948,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-06,17:49:00,03,04,01,07,01,,0,356142.6231,5022128.073,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-06,18:30:00,03,04,01,07,01,,0,348606.6622,5016964.541999999,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-06,20:06:00,03,07,01,07,02,,0,342751.8962,5017177.383,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-06,20:10:00,03,07,01,07,02,,0,341959.0572,5017764.318,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,00:30:00,03,07,01,07,02,,0,347425.2928,5015624.136,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,07:50:00,03,04,01,03,01,,0,369264.4186,5030929.664,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,07:55:00,03,03,01,01,01,,0,369355.6069,5030990.159,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,11:00:00,03,03,01,01,01,,0,374217.3843,5031212.458000001,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,12:25:00,02,03,01,01,01,,0,365167.7688,5028722.443,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,12:30:00,03,03,01,01,01,,0,365151.5383,5028701.886,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,12:35:00,03,03,01,01,01,,0,363774.8224,5026642.717,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,12:50:00,02,07,01,01,01,,0,341760.0013,5017910.7,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,12:35:00,03,03,01,01,01,,0,363781.0993,5026650.985,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,16:45:00,03,03,01,05,01,,0,364212.5126,5027257.313999999,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,16:55:00,02,03,01,07,01,,0,369362.6143,5030975.3780000005,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-07,18:00:00,03,03,01,07,01,,0,365185.4446,5028744.227,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
